news_id	news_title	release_time
297162	2019新年贺词：奋力开启北林崛起新征程	2019/1/1 18:41:46
297218	体育教学部成绩展示	2019/1/2 10:39:46
297220	马克思主义学院成绩展示	2019/1/2 10:44:27
297221	艺术设计学院成绩展示	2019/1/2 10:46:17
297237	北京林业大学附属小学成绩展示	2019/1/2 11:14:57
297238	图书馆成绩展示	2019/1/2 11:16:00
297239	离退休处成绩展示	2019/1/2 11:17:21
297254	北林师生在欢声笑语中共迎新年到来	2019/1/2 14:12:40
297319	工学院师生联欢晚会传承北林精神弘扬工学文化	2019/1/2 13:46:56
297320	材料学院举办学生心理健康工作专题研讨会	2019/1/2 14:16:44
297321	信息学院2019届本科生就业动员会 暨考研后续动员会	2019/1/2 16:26:35
297322	园林学院召开第六届青年学术交流会	2019/1/2 16:23:17
297323	信息学院新增一处就业实习实践基地	2019/1/3 08:43:30
297326	材料学院党委学习学校第十一次党代会精神	2019/1/2 10:08:10
297351	博物馆教评中心党支部开展“一支部一品牌”创新服务项目活动	2019/1/3 10:32:46
297383	教务系统APP助力教学教务 方便师生“随时”办理业务	2019/1/3 16:49:15
297393	“阳光优材”项目师生迎新年话成长 	2019/1/4 08:40:26
297423	300余名离退休老同志欢聚一堂 喜迎新年	2019/1/4 14:14:16
297426	教育部高等学校3个专业教学指导委员会召开全委会	2019/1/3 16:10:06
297431	我校教学项目获国家级高等教育教学成果二等奖	2019/1/4 15:35:48
297434	理学院学生党支部开展“正宿风 促学风”盲评式党课	2019/1/4 16:01:10
297443	2018年度一流学科建设进展情况汇报会召开	2019/1/4 17:01:45
297516	2018“园林之夜”文艺晚会展示师生风采	2019/1/4 17:11:04
297518	材料学院举办2019年新年离退休教师茶话会	2019/1/4 16:30:37
297519	水保学院研究生学术文化节以学促优	2019/1/4 16:25:47
297520	经管学院举办首届青年教师学术论坛	2019/1/4 11:32:47
297521	生物学院走访学生宿舍传达学院新年关怀	2019/1/4 14:21:01
297523	艺术设计学院教工党支部开展党员上党课活动	2019/1/4 16:49:35
297532	学院路地区校地警联盟换届工作会在我校召开	2019/1/7 09:40:38
297546	高精尖创新中心工作领导小组会议召开	2019/1/7 10:07:54
297573	视频新闻第375期：中国共产党北京林业大学第十一次党员代表大会隆重开幕	2019/1/7 15:02:13
297574	视频新闻第376期：中国共产党北京林业大学第十一次党员代表大会胜利闭幕	2019/1/7 15:03:33
297579	理学院多种形式学习宣传学校第十一次党员代表大会精神	2019/1/7 15:29:43
297588	外语学院和人文学院联合开展全国和北京市教育大会宣讲对谈活动	2019/1/7 15:52:19
297589	林学院与经管学院联合开展全国和北京市教育大会宣讲对谈	2019/1/7 14:14:41
297598	第二届朱之悌奖励基金颁奖仪式举行	2019/1/7 16:42:37
297642	园林学院召开2018留学生工作会	2019/1/4 17:06:27
297645	园林学院6门精品在线开放课程正式上线	2019/1/7 13:55:50
297646	艺术设计学院举办党史知识竞赛	2019/1/4 16:43:20
297670	我校科研项目获得国家科学技术进步奖二等奖	2019/1/8 17:20:15
297685	我校入选高校思想政治工作创新发展中心名单	2019/1/8 18:35:43
297722	园林学院举办首届文化创意大赛	2019/1/9 08:50:43
297724	园林学院教授编著的《圆明园盛世一百零八景图注》新书发布	2019/1/8 15:16:33
297729	保护区学院与人文学院联合开展校第十一次党代会报告宣讲	2019/1/9 11:39:15
297792	我校第十一次党代会报告思维导图	2019/1/9 17:39:25
297820	研究生树人学校举办纪念改革开放40周年微党课大赛	2019/1/10 08:35:09
297822	本科教学实验室安全工作进一步加强	2019/1/9 10:09:30
297834	经管学院“两山”理论研究团队成果入选全国党员教育培训教材	2019/1/10 11:27:50
297839	学校开展2018年院（系）级单位党组织书记抓基层党建工作述职评议考核	2019/1/10 13:50:22
297869	生态文明背景下的植物景观研究与实践论坛在我校召开	2019/1/10 08:48:16
297870	水保学院举办资环专业师生座谈会	2019/1/10 15:48:05
297871	水保学院和体育教学部联合开展学校第十一次党代会报告宣讲活动	2019/1/10 16:11:40
297872	生态文明博士生讲师团成立马克思主义理论分团	2019/1/10 16:06:54
297912	书法家走进实验林场为护林员和驻场森林消防支队送祝福	2019/1/11 08:50:06
297913	生物学院召开学生党员骨干座谈会广纳建议	2019/1/11 08:56:24
297914	信息学院开展期末学生安全教育系列工作	2019/1/11 09:01:55
297929	材料学院开展校第十一次党代会报告宣讲	2019/1/11 11:24:18
297947	园林师生助力首都历史文化名城保护	2019/1/11 15:14:14
298005	国务院学位委员会林业工程学科评议组专家来我校调研	2019/1/14 08:30:39
298010	经管学院和信息学院联合开展学校第十一次党代会报告宣讲	2019/1/11 17:14:38
298011	青海德令哈市政府赴生物学院洽谈合作	2019/1/11 14:23:28
